text,location,phase
get registered iya crave free online seminar treat corona virus naturally natural therapy ct iyacrave gmail com dr h hussain siddique chennai india,chennai,1
potus ask media houses like washingtonpost nytimes spread venom amp pedde lies social media corona virus india media creatures worse satan kill humans fake news amp paid news behest one act,chennai,1
shall abide 21 days lockdown rule includes staying home follow directions given government india prevent spread coronavirus ahamed riyas managing director sypa tree sypa group companies founder chennai 11 foot zone,chennai,1
part war coronavirus join supporting need helping hand critical hour inthistogether helpinghands countryinthistogether helpinghands,bangalore,1
wtf wrong americans buying spree guns australians toilet papers kill virus guns godblessthem coronavirususa coronavirus coronavirusupdate australia chinesevirus19 lockdown realdonaldtrumpgodblessthem coronavirususa coronavirus coronavirusupdate australia chinesevirus19 lockdown,bangalore,1
coronavirus live india toll 27 cases 1024 global deaths top 33 000,bangalore,1
team phc put forward noble initiative distributing food homeless vizag step forward donate great cause belivers volunteers activemembers coronavirus homeless hunger supportneedy lockdowndays fightagainstcorona india teamphc thanksshivavizag belivers volunteers activemembers coronavirus homeless hunger supportneedy lockdowndays fightagainstcorona india teamphc thanksshiva,hyderabad,1
india tremendous capacity eradicating coronavirus pandemic economic times https economictimes com news politics nation india tremendous capacity eradicating coronavirus pandemic articleshow 74788341 cms utm source twitter pwa amp utm medium social amp utm campaign socialsharebuttons via economictimes,hyderabad,1
country lacking rapists rapistshavetobehanged minor girl raped 21dayslockdown thing dangerous sir narendramodi coronavirus coronaindia indiatoday jharkhandpolice please act shoot 8 people involved https twitter com prahaladlucky status 1244345485978034176rapists rapistshavetobehanged 21dayslockdown coronavirus coronaindia jharkhandpolice,hyderabad,1
finally red heart selector take care homeless poor people also included family india unites coronaviruscoronavirus,mumbai,1
nobody says “ ” anymore coronaviruscoronavirus,mumbai,1
pmoindia u pls take support rahulgandhi amp anyone wanting 2 help crisis like covid2019 isnt political religious pls give every1 chance 2 go coronavirus amp let india prevail togetherness folded hands indiavscorona spreadthelovecovid2019 political religious coronavirus india togetherness indiavscorona spreadthelove,mumbai,1
thanks tweeting experience coronavirus coronaupdatecoronavirus coronaupdate,mumbai,1
part war coronavirus join supporting need helping hand critical hour – peoples gym,mumbai,1
“ ’ lot panic money left purchase food die hunger even coronavirus reaches us ” says kalim mulla worker closed handloom bhiwandi https bit ly 3ddj6m0 lockdownwithoutplan migrantsontheroad migrationpandemiclockdownwithoutplan migrantsontheroad migrationpandemic,delhi,1
coronavirus infected incindia leader kerala jumped quarantine amp infected 260 people https www opindia com 2020 03 kerala congress leader coronavirus positive jump quarantine super spreader via opindia comcoronavirus,delhi,1
covid19 picture going dark scary every hour went coronavirus wuhanvirus chinesevirus19covid19 coronavirus wuhanvirus chinesevirus19,delhi,1
mannkibaat pm requests everyone comply lockdown without difficult save scourge coronavirus via namo appmannkibaat,delhi,1
mannkibaat coronavirus posing challenge knowledge science rich poor strong weak alike confined nations borders makes distinction region season pm modi requests everyone abide lakshman rekha display patience via namannkibaat,delhi,1
german state finance minister kills coronavirus hits economy ndtv,kolkata,1
shall abide 21 days lockdown rule includes staying home follow directions given government india prevent spread coronavirus dujipur https www instagram com p b vapjgdwhb igshid kp5ri6i96lyt,kolkata,1
already seeing many posts predictions condition world done coronavirus pandemic people mostly talking dwindling globaleconomy human beings dire consequencesworld coronavirus globaleconomy,kolkata,1
predict lyrics 2020 coronavirus body stacking still unknown real world citizens afraid covid19 coronatime pmoindia drcreepcovid19 coronatime pmoindia drcreep,kolkata,1
coronavirus outbreak timeline patient zeros diagnosis https youtu 6wjovezytzg via youtube lockdown cronovirus coronaupdate covid2019indialockdown cronovirus coronaupdate covid2019india,kolkata,1
know covid19covid19,chennai,1
boats idling backwaters covid covıd19 covid 19 boat backwaters lockdown chennai india https www instagram com p b u0sn7lnkh igshid 1cocopqtpi11xcovid cov covid 19 boat backwaters lockdown,chennai,1
great work sir r proud u sir coronavirusoutbreakindia wetogetherfightscorona covid19 cccoronavirusoutbreakindia wetogetherfightscorona covid19,chennai,1
fomites objects materials likely carry infection fomites around us door door knob mobile phone cell phone dollar banknote currency laptop computer laptop video game remotes electric plug light switche indiafightscorona coronavirus covid covid19 covid 19 coronavirusoutbreak togetherwecan stayhome 21daylockdownfomites indiafightscorona coronavirus covid covid19 covid 19 coronavirusoutbreak togetherwecan stayhome stayhome 21daylockdown,chennai,1
tirunelveli 3 3 people call place order essential supplies groceries vendors attached list covid19 covidgrocery covidtn collectortnv sandy nanduritirunelveli covid19 covidgrocery covidtn,chennai,1
time rabi harvest india rabi crops sown winter harvested late march early april covid19 lockdown farmers fearing loss though gov exempted farm workers amp procurement agencies also safety farm workers labors,bangalore,1
lets anxious together amateur noodling covid19 bangalore india https www instagram com p b vml8nhrar igshid bb0wmflgxdg2covid19,bangalore,1
covid 19 globally killed 33k people perhaps shocking death due covid19 germanycoronavirus thomasschaefer coronavirusoutbreak https amp dw com en german state finance minister thomas sch c3 a4fer found dead 52948976 twitter impression truecovid 19 covid19 germanycoronavirus thomasschaefer coronavirusoutbreak,bangalore,1
responsible citizen donated small amount pmcaresfund everyone whatever support govt fellow indian brothers amp sisters fight pandemic jai hind covid19 please support pm cares covid 19 relief fund narendramodi folded handspmcaresfund covid19,bangalore,1
responsible citizen donated small amount pmcaresfund everyone whatever support govt fellow indian brothers amp sisters fight pandemic jai hind covid19 please support pm cares covid 19 relief fund narendramodi folded handspmcaresfund covid19,bangalore,1
hello everyone feeling sad stressed anxious angry copingwithcovid join un youth amp ’ webinar series “ youth mental health ” help cope pandemic link http bit ly cwcovid 5 30 pm india youth2030 vforce unv india covid19copingwithcovid youth2030 vforce unv india covid19,hyderabad,1
instructions aimim president asadowaisi sb day 2 relief distribution hakeempet kunta surrounds relief distributed 300 families karwan mla kausarmohiuddin amp nanal ngr corpghmcnaseer overseen relief efforts covid19 coronavirus aimim nationalaimim covid19 coronavirus,hyderabad,1
unitedagainstcorona kchirutweets iamnagarjuna iamsaidharamtej iamvaruntej musicdirectorkoti joined together educate people covid19 shoot recorded home asking everyone stay safe https youtu eijwca9e1me indiafightscoronaunitedagainstcorona musicdirectorkoti covid19 indiafightscorona,hyderabad,1
congratulations please dont discharge right away would take 14 days completely get well case tested twice discharge covid19 telanganafightscorona covid 19 discharge criteria pdfcovid19 telanganafightscorona,hyderabad,1
room view selfisolation selfquarantine covid19 mumbaiquarantined socialdistancing mumbai maharashtra https www instagram com p b vdzuyh7xt igshid bri06wk5kcbvselfisolation selfquarantine covid19 mumbaiquarantined socialdistancing,mumbai,1
watching cute animal videos internet thing keeping insanity together pandemic sundaythoughts quarantinelife untilltomorrow lockdown coronavirusindia covid19pandemic sundaythoughts quarantinelife untilltomorrow lockdown coronavirusindia covid19,mumbai,1
possible 92 china effected ppl recovered n countries suffering chinese biowar covid19 covid2019india askzee pmoindia narendramodibiowar covid19 covid2019india askzee,mumbai,1
pm cares fund accepts micro donations strengthen disaster management capacities encourage research protecting citizens donate covid19 pmcares princeprasad bjp4prince narendramodi jpnaddacovid19 pmcares princeprasad,mumbai,1
time us xfapsiansdelhi get together amp collect pledge towards pm relief fund covid19 please come forward amp donate minimum rs 500 together together thewritesush jroy 1978 wittydoc12 msktunnu hardeepspuri manishsethcovid19,delhi,1
time us xfapsiansdelhi get together amp collect pledge minimum rs 5 lakhs amp bit covid19 please come forward wittydoc12 thewritesush jroy 1978 jai hind stayhomeindia narendramodi pmoindia hardeepspuricovid19 stayhomeindia,delhi,1
hard times covid 19 take pledge include best practices prevention covid19 promote possible wayscovid 19 covid19,delhi,1
lockdown measures implemented us 1 month prediction made 100 000 deaths covid19 could possibly come true every american must asked stay home 1 month without exception save lives covid19,kolkata,1
lockdown appropriate measure save lives covid 19 everyone must obey every lockdown measure save covid19 anyone found violating temporary lockdown laws must sent detention centre 2 weeks,kolkata,1
like covid 19 break chain also applicable whatsapp telegram messaging apps see anyone leaking covid 19 patients informations picture email mobile address social networking details please part good citizen break chain covid19covid19,kolkata,1
please safe sound period covid19 red heart selector rose folded hands,kolkata,1
something coming together hearing speaking gods word people came hear jesus speak mothers fathers children backgrounds regardless job social status stayed hear word,chennai,1
locked stay home quarantine slogans keep hearing days covid 19 created uncertainties worldwide social distancing followed many places places order violated would appreciate prayers photos – chennai india,chennai,1
itisprashanth bro wat happened social thinnai channel ipo ethachu analysis pani post panalam la,chennai,1
thanthitv donate iya crave social welfare organization involved treatment corina c naagas allied business credits c 6655735754 indian bank ifsc idib000k037 kellys branch chennai email iyacrave gmail com call sns whatsapp 91 877 842 5830,chennai,1
im group family group whatsapp luckily son nahi whatsapp fb insta social media much professional amp family oriented call amp talk best idea came fb slowly ig twitter need 4 sometime,bangalore,1
bsybjp tejasvi surya bjp4karnataka suggestion great opportunity take infrastructure pending road development projects like metro flyover etc allow social distancing well provide jobs daily wage workers along proper medical precautions,bangalore,1
understand part shutting door corona virus door shut people reference human tragedy happening daily wage labourers social distancing covid2019indiasocial distancing covid2019india,bangalore,1
day5of21 goes unplanned scorching sun 4 hrs continuous cardio makeshift market instill sense senseless people part city like whats even social… https www instagram com p b uzf55fbs1 igshid 15r1v8w5rooboday5of21,bangalore,1
better relief time fallow look orders instructions maintain stay http home maintain social http distence see love affection couple,bangalore,1
dear youth india folded hands india short objective start social media awareness campaign combat covid 19 nation use social media brahmashtra lets show social media youth power need states youth coordinator1 1,hyderabad,1
cmon india better rest world lets flatten curve breakthechain 21dayslockdownindia stayhomestaysafe indiafightscorona social distancingbreakthechain 21dayslockdownindia stayhomestaysafe indiafightscorona social distancing,hyderabad,1
comprehending lot boss social media understood wants become social media influencer 60s kids good luck kchirutweets new future mwah face blowing kiss,hyderabad,1
really cant guess whats coming next even cant definitely worth watching masterpiece little less social satire economic disparity classism class struggle sure villains rich poor relate,hyderabad,1
small message lill baby please stay home save lives enjoy time family n friends maintain social distance stayhomesavelives beatthevirus indiafightscorona mysore cmofkarnataka kalaburgivarthe narendramodi namoapp publictvnews suvarnanewstvstayhomesavelives beatthevirus indiafightscorona mysore,hyderabad,1
trademark mumbais history social distancing market 1st ghatkopar east nagarsevika rakhee jadhav pawarspeaks ajitpawarspeaks jayant r patil supriya sule mumbaincp jadhavrakhee,mumbai,1
social distancing,mumbai,1
citizens dont cooperate n offer unstinted support govt n observe total discipline wrt lockdown let dis b warning 2 glee n delight oppn media n social media worms included india b flattened n dont 4 minute think ull escape ull constitute basecitizens lockdown india flattened,mumbai,1
love natural state red heart selector fear parrot ps social distancing lovebirds eyes stayhome staysafe beresponsible seebeauty ineverything home lt 3 https www instagram com p b vaon2p2ykpraz9ahuepj5oqxgk4lpksy5y8y0 igshid 1hvfumb73p7yzstayhome stayhome staysafe beresponsible seebeauty ineverything,mumbai,1
love natural state red heart selector fear parrot ps social distancing lovebirds eyes stayhome staysafe beresponsible seebeauty ineverything home lt 3 https www instagram com p b vaewcjg1hryygctdu76r9scxhs9c zxmop2w0 igshid totype3tl31dstayhome stayhome staysafe beresponsible seebeauty ineverything,mumbai,1
mannkibaat maintain social distancing via namo appmannkibaat,delhi,1
honourable prime minister reason stay home justified emergency social contact phone daughter ’ phone gone blank cant repaired lockdown new one bought practically possible survive,delhi,1
yeah bro true must stick social behaviour,delhi,1
spoke dad rudely yesterday erupted totally political judgements arrives influence circulating emotionally motivated social media memes cell narendramodi ji excessive emotions cloud judgement team making,delhi,1
mother earth reviving rivers flowing kissing seas birds singing chirping animals enjoying vacations air spreading fragrance trees dancing social animal disturbing flora fauna saying thankstocoronathankstocorona,delhi,1
social distancing maintain kare,kolkata,1
mamataofficial mam discipline maintained day times wake covid 29 areas around mallick fatak jail road 20 round tank lane howrah please deploy police official ensure social distancing,kolkata,1
working like digital corona virus syndrome also solution social media isolation facebooktrends,kolkata,1
super sir continue good job remaining quarantine period flexed biceps flexed biceps flexed biceps,chennai,1
really highly appreciated job please share information text image share among need people,chennai,1
justified yes ’ unfair us twitter outraged news developments india compare us italy korea etc guys job sudden idea deadly virus go home,chennai,1
1 faith english medicines go notch higher 2 western world realise importance vaccination 3 modern untouchability seen 4 unorganised labour sector find difficult get jobs esp north indians wont get job easily south india,chennai,1
need tech giants join fight infosysfoundation brilliant job since day one coronaoutbreak coronavirusupdateinfosysfoundation coronaoutbreak coronavirusupdate,bangalore,1
raising kids easy job best way raise positive kids negative world positive parents love unconditionally serve excellent role models,bangalore,1
donate rohini sgh donating ask yadavakhilesh samajwadiparty ps never knew u saw twitter trends amp checked abt dont need personal views topic job show whats happening india amp world without manuplating – bangalore,bangalore,1
future employment enough jobs people question simmering following catastrophe,bangalore,1
job country looked upon must understand every situation crisis low paying jobs become lifelines billion people actually given perks grade c amp grade better compensated grade amp b amen,bangalore,1
never history world seen director limelight leaders defined times crisis done fantastic job far keeping world informed however tweet 14th jan claiming covid 19 communicable disappointing,hyderabad,1
great job also made effort speak hindi made points clearly without making lot build drama amp unesseary analogies also covered points side effect instead tweeting later whose audience irrelevant,hyderabad,1
good job,hyderabad,1
good job sir,hyderabad,1
honorable kcr sir telanganacmo performing exceptionally well covid 19 lucky great dynamic chiefminister thank great job ktrtrs trsharish trspartyonline eatala rajender telanganahealth https twitter com ktrtrs status 1244226836134899713chiefminister,hyderabad,1
need surveyor job vacancy please inform,mumbai,1
need surveyor job vacancy please inform,mumbai,1
need surveyor job vacancy please inform,mumbai,1
good job,mumbai,1
donated ration cash ahmedabad great job,mumbai,1
im getting people ngo helping immigrants thinking good jobs somehow promoting immigration immigration become digaster thats fear coronaupdatesinindia influencer influencermar follotrick covidiot ffcoronaupdatesinindia influencer influencermar follotrick covidiot ff,delhi,1
good job thumbs sir,delhi,1
good good job,delhi,1
great job bro thumbs,delhi,1
maam want meet please come haryana gr8 job us good human folded hands light skin tone folded hands light skin tone folded hands light skin tone god bless strength hard work humanity clapping hands clapping hands clapping hands 21dayslockdownindia beatthevirus blessings determination21dayslockdownindia beatthevirus blessings determination,delhi,1
good job didi,kolkata,1
narendramodi ji job done india jai hind india india indiafightscornonaindiafightscornona,kolkata,1
sir mujhe apse bahot umeed hain q ki aap bahot achhe hain sab ke liye achha sochte hain please sir sorry main bahot poor family se hun please sir need police job please sir help support thank much sir,kolkata,1
essentially every state must big city provide jobs people like america many cities like chicago vegas new orleans atlanta etc americans ’ rushing nyc la employment,kolkata,1
best knowledge cancelled ipl postponed 15th april played indoors tv revenue still loss stadium revenue,chennai,1
sir thanks timing important factor let political leadership decide ultimately gain loss maximum purpose send timely warning,chennai,1
interest subvention also needed earning lower job loss cant pay bank rates gst rebate atleast 5 6 months needed,chennai,1
place allah almighty sorrows troubles recompense every pain every loss better ahmadiyouth ahmadiyya அஹ்மதிஇளைஞர்கள்ahmadiyouth ahmadiyya,chennai,1
luckily severe hair loss phase smiling face heart eyes ’ hair cut recently ’ planning grow tips ’ much oil hair atleast week occasionally use hair pack paraben sls shampoo ’,chennai,1
youre sadistic person imagine regular traffic everyday casualties way way less loss life reduced one way many ways saved lives due lockdown though lockdown inconvenience,bangalore,1
private corporate hospitals stating employees doctors senior management dirty work salaries going doubtful due loss business due lockdown,bangalore,1
kicchasudeep sorry sir havent expected request withdraw agreement rummy circle com sake society dont mind loss away heart kannada people cont regain regards fan,bangalore,1
point two kind people india one either suffering covid 19 pray time pass minimum human loss others wish pandemic kills nany possible lady second category,bangalore,1
ah ifhow outrageous brutalized bastard bestial creatures art oblivious toreal sombre conditions abroad savaged shew nosigns ofmoral compunction ye worlds aghast jewrys sheer disregard int community concerns cares thus art ata loss words agape incredulity – dosa point,hyderabad,1
coronaviruslockdown combined immediate loss daily wages storm socio economic exclusion livelihood loss public health hazards due contagion risks brewing team writes current situation migrants indiaspendcoronaviruslockdown migrants,hyderabad,1
potus vp usarmy usarmyreserve usarmycentral realdonaldtrump ivankatrump fbi fbilosangeles fbiwfo newyorkfb kthopkins please view video hatred time human loss highly cynical biggest threat humanityhumanity,hyderabad,1
realdonaldtrump sir china virus effect election plan loss elections,hyderabad,1
honourable primeministerofindia narendramodi ji current economic downturn thanks giving emis 3 months relief public folded hands folded hands folded hands well people employees workers suffered loss due lockdown youre welcome announce budget help,hyderabad,1
im sorry loss thank generosity spirit shown even time like truly honour dr mattoo spreading 6ftlove advising socialdistancing6ftlove socialdistancing,mumbai,1
cmomaharashtra anildeshmukhncp wholly second chintskap view along food booze b allowed b delivered add revenue govt business neways r facing huge loss incentive ppl sit home,mumbai,1
corona virus genrated natural way china country laboratory genrated virus spread parts world u china trade war started year 2018 china country world wide business loss revenge spread corona virus world danger fo china,mumbai,1
year 2018 january china u country started trade war china country business loss revenge making corona virus laboratory experiments time corona spread wuhan city parts world country china country social boycott full life,mumbai,1
absolutely correct exception apart ias officers practical training exposure ill equipped understand lead drive entrepreneurial objective govt pls note business abt risk uncertainty rewards growth incentive loss closure beyond ias comprehension,mumbai,1
2nd hand furniture shop shaheenbagh form shade owned one naushad 400 500 people gathered douse fire amp save furniture loss furniture worth 4 lakh rupees face rolling eyes police says reason fire yet known shaheenbaghfireshaheenbagh shaheenbaghfire,delhi,1
shocking hear fire broken furniture market shaheenbagh hope loss livesshaheenbagh,delhi,1
respected sir please check personal base immediately big loss,delhi,1
chayan r u wasting ur time zero loss,delhi,1
yes dear must follow instructions pm narendramodi ji defeat coronavirusoutbreak ensure minimum loss precious lives citizenscoronavirusoutbreak,delhi,1
loss words akshaykumar positive gesture true super hero,kolkata,1
pmoindia cmofficeup aamaadmiparty aapkagopalrai myogiadityanath arvindkejriwal government must immediately ensure transport food health facilities compensation loss livelihood migrant workers aisa,kolkata,1
government thought earlier great contributor gdp help factories run production take place even 0 0001 good hand loss would make factories run great difficulties product quality suffer,kolkata,1
masi mom ’ younger sister dear second mother actually lost cancer 40s ’ loss mourn day precious us one the… https www instagram com p b rh y1b 9u igshid 1odi1yy17yxth,kolkata,1
china solely responsible pandemic global lockdown imagine loss lives trauma panic uncertainty future world facing survive imagine economic situation heading 1 2,kolkata,1
govt safeguarding commendable ironically also levying 5 tcs foreign travel effective 1st april shift india travel business overseas foreign companies pay leading millions jobloss india savetravelindustrygovt tcs india travel jobloss savetravelindustry,bangalore,1
covid 19 may go away tcs travel ’ shift travel business indian overseas forever ideology makeinindia result jobloss crores give relief4travel amp savetravelindustry nsitharaman sanjeevsanyal cbic india anicovid tcs travel jobloss relief4travel savetravelindustry,mumbai,1
covidー19 may go away tcstax travel ’ shift travel business indian overseas forever ideology makeinindia result jobloss crores give relief4travel amp savetravelindustry nsitharaman pmoindiacovid tcstax travel jobloss relief4travel savetravelindustry,mumbai,1
’ curious ‘ advanced treatment ’ family access treatment available knowledge ps repeated tests probably part treatment declared recovered 2 consecutive negative results,bangalore,1
thanks comprehensive list variables analysis severity covid19india better personalised efficient treatment indiafightscorona https twitter com rnivruti status 1240309708650459136variables covid19india indiafightscorona,bangalore,1
feel conspiracy govt give five star treatment deserves kuch din hamare hospital main party kar lijiye person shrugging person facepalming smiling face smiling eyes jokes apart hope recovers familys sake folded hands,bangalore,1
doctor requires treatment jail put behind bars dangerous coronavirus cmomaharashtra authackeray hmoindia desimojito theskindoctor13,hyderabad,1
pmoindia mohfw india icmrdelhi dear prime minister india mohfw consider treatment aspect take quick effective steps considering technique already employed china uk usa kindly read content image attached,hyderabad,1
ktrtrs sir son aged 11 months suffering eye infection cold past 2 days nearby hospitals denying treatment saying services closed till april 14th suraksha childerens http dr cn rao hospitals tarnaka kindly look issue,hyderabad,1
vikarabd hai sir sister carrying twins 9th month ending private doctors available doctors saying go govt hospital go govt hsptl treatment twins,hyderabad,1
precautions better treatment donations wont matter much amount given responsible care took problems come,hyderabad,1
mohfw india please confirm rates confirmed treatment covid 19 cases opd amp ipd cases maharashtra,mumbai,1
stop ’ backbone family old persons ladies animals farms suffer best way medical checkup normal person allowed go govt arranged transportation strict supervision sick stuckupfor treatment,mumbai,1
stop ’ backbone family old persons ladies animals farms suffer best way medical checkup normal person allowed go govt arranged transportation strict supervision sick stuckupfor treatment,mumbai,1
mplads funds donated merely diverted towards coronavirus treatment funds us tax payers money donation remove money pocket stop fooling masses pmcarefund coronavirus mpladfund bjp modipmcarefund coronavirus mpladfund bjp modi,mumbai,1
’ come every thing shut students cancersurvivors mumbai able visit tatamemorial seek advice doctors dad needs argent treatment available locallycancersurvivors,mumbai,1
balochis jst getting worst treatment ever world dont even right breathe family amnesty amnestyusa unhumanrights dawn com please show concern pls show ur veins exist,delhi,1
mlkhattar mcf faridabad swachhfaridabad pmoindia sanitation chemical treatment yet started faridabad garbage getting piled front every houses going behave like responsible leaders,delhi,1
india options also ayush system government giving opportunity ayush doctors give treatment allopathy definitely give 70 80 results narendramodi drharshvardhan jpnadda amitshahoffice amitshah,delhi,1
learn italy spain america countries one treatment system allopathy system collapsed found treatment allopathy covid19 would stopped countries moayush mohfw india pmoindia shripadynaik,delhi,1
pmoindia cmofficeup cpcb official mohfw india un undp india doctors handling cases covid 19 patients treatment destroy disposal items use recycled,delhi,1
best send italy people dying without treatment remind italy one one best medical facility world,kolkata,1
coming abroad coronavirus infection get vvip treatment whereas poors victims covid19 r left fend amp paying lives belongings face lathis get essentials great injustice,kolkata,1
rahul ji nation understand everything congress others get best treatment soon citizen need support remarks forget politicsand come party cocoons destroying national calamity carona 19,kolkata,1
dear pm sir poor man residing barasat kolkata west bengal need help relief fund due operation treatment house repair etc thanks support,kolkata,1
observation reason scalable rise covid19 cases india may malaria infected countries may herd immunity hence fatality rates lower thn expected also chlorine seems work treatment,kolkata,1
